Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
1:59:391 hour, 59 minutes, 39 sec      mums ir atsevišķa iestāde, kas šobrīd ar tiem jautājumiem vairāk arī strādā un virzāmies uz priekšu. Un, nu, arī te,
1:59:461 hour, 59 minutes, 46 sec      jā, protams, tas ir kopumā droši vien tāds magnējs jautājums, visas nozares jautājums, ja,
1:59:551 hour, 59 minutes, 55 sec      par to, kā mēs spējam pārkārtoties, spējam mainīt procesus, kas varbūt ir ierasti vienā vai otrā veidā un ko
2:00:022 hours, 2 sec      digitalizācija spēj uzlabot, efektivizēt. Tas, tas ir, tas ir kopumā izaicinājums, bez šaubām visai
2:00:102 hours, 10 sec      nozarei, bet, nu, tās ir tās lietas pie lietas, pie kā mēs strādājam, ja, tik lielā kuģī kā veselības nozare,
2:00:172 hours, 17 sec      noteikti arī finansējuma ilgtspējīgai, nu, tam, tam redzējumam ir nozīme, vai ne? Jo, nu, budžets top no gada uz gadu.
2:00:252 hours, 25 sec      Kāda ir loma tieši tam, ka, nu, mēs varam prognozēt tomēr veselības nozarē, tātad, ja lielākas pārmaiņas ir jāievieš, ka tas finansējums būs, ir, ir
2:00:322 hours, 32 sec      kaut kāda paļāvība, kādu lomu spēlē tieši tā finansējuma ilgtspējība reformu ieviešanā.
2:00:382 hours, 38 sec      Jā, skaidrs, ka tas viens no, viens no pamatnosacījumiem. Un, nu, jāsaka, ka diemžēl, lai arī, jā, sakot, ka
2:00:462 hours, 46 sec      finansējums gadu no gada, protams, aug, bet tā paredzamība, ilgtspēja šobrīd mums konkrēti nozares puses varbūt arī nav. bija mēģinājumi.
2:00:572 hours, 57 sec      Pagājušajā gadā vairāk mēs veselības aprūpes finansēšanas likumā piedāvājam izmaiņas, kas varētu palīdzēt šo šo
2:01:042 hours, 1 minute, 4 sec      varbūt uzlabot, bet, jā, ja mēs skatāmies uz atsevišķām iniciatīvām, ko šobrīd arī tai pašā profilaksē attiecībā
2:01:132 hours, 1 minute, 13 sec      uz vakcināciju īstenojam uz sirds asinsvadu plānu, nu, tad šobrīd ir tā situācija, ka mēs varam atsevišķas lietas iesākt.
2:01:222 hours, 1 minute, 22 sec      Varbūt šobrīd arī arī nozares iekšienē, bet, ja mēs joprojām nezinām šodien, kāds mums, vai būs
2:01:302 hours, 1 minute, 30 sec      tās investīcijas, ieguldījumi pieejami nākošā gadā, tā finansējuma ilgtspēja, ja, nu, ir, ir, protams, ir lietas, kas
2:01:372 hours, 1 minute, 37 sec      līdz ar to ir, nu, prasa droši vien, jā, arī savādāku pieeju, varbūt ne pilnā apmērā, kā mēs to, kā mēs to gribētu. Ē,
2:01:462 hours, 1 minute, 46 sec      plus šai finansējuma ilgtspējai tā, tā otra daļa, kas varbūt attiecas uz publisko finansējumu. Kopumā jau mēs
2:01:542 hours, 1 minute, 54 sec      salīdzinoši, droši vien salīdzinošāk ar ar arī ar citām valstīm, Eiropas valstīm finansējumu izlietojumu veselības
2:02:022 hours, 2 minutes, 2 sec      aprūpei. Tā mūsu droši vien vājākā vieta, ko mēs arī grafikos redzējām, ka mums ir milzīgs īpatsvars iedzīvotāju tiešmaksājumiem.
2:02:122 hours, 2 minutes, 12 sec      tajā brīdī, kad to var atļauties, kad tas tā tā varbūt ir viena konsultācija, izmeklējums, otra, nu, tā
2:02:212 hours, 2 minutes, 21 sec      ir viena situācija tajā tai tajā brīdī varbūt arī iedzīvotājs, kas šo pakalpojumu saņem, pērk, ja, nu, to, to
2:02:292 hours, 2 minutes, 29 sec      var izdarīt, bet, nu, jāsaprot, ja tā šķēre mums ir tik liela, un
2:02:362 hours, 2 minutes, 36 sec      privātais finansējums nekad nespēs akumulēt tādus riskus, kā publiski is finansējums attiecībā jau uz stipri
2:02:442 hours, 2 minutes, 44 sec      sarežģītākām, komplicētākām saslimšanām uz onkoloģiju, kur medikamentu izmaksas ir 10 tūkstoš, ja, nu, tad tie gadījumi,
2:02:522 hours, 2 minutes, 52 sec      protams, vairs vairs vairs vairs nav tik vienkāršoti sedzami no tām tiešajām tiešajiem varbūt pieejamajiem līdzekļiem. Tā kā šeit absolūti visur,
2:03:002 hours, 3 minutesja, tā finansējuma ilgtspēja jāiet ir cauri. Tajā pašā laikā skaidrs, ka ir ir tās lietas arī iepriekš aprakstītās, kas
2:03:072 hours, 3 minutes, 7 sec      mums, pie kā mums jāstrādā, kas jāuzlabo arī tai skaitā, nu, nozarē iekšienē, jā, efektivitāte, par ko daudz šeit tiek runāts. Absolūti.
2:03:152 hours, 3 minutes, 15 sec      Mhm. kolēģi, iespēja reflektēt uz līdz šim dzirdēto, lūdzu.
2:03:222 hours, 3 minutes, 22 sec      Jā, es varbūt vairāk kā papildinājumu, jo jo tā tad visiem skaidrs ir tas, ka veselības aprūpes nozarē mums ir nepieciešams vairāk finansējumu.
2:03:352 hours, 3 minutes, 35 sec      Un tas, tas ir, teiksim, tā diezgan skaidri būs arī, es domāju, pēc oktobra vēlēšanām. Es saprotu, ka daudzi jau ir
2:03:422 hours, 3 minutes, 42 sec      no šīm rekomendācijām raksta programmas, bet tā pavisam reālā situācija arī, kad jāpaskatās uz šo jautājumu, ir bišķīt
2:03:512 hours, 3 minutes, 51 sec      garākā arī ilgtermiņā. Mēs redzam, teiksim, to, kas būs līdz 30. gadam, bet tai pašā laikā mums visos šajos datos
2:03:592 hours, 3 minutes, 59 sec      parādās tāds viens, viena lieta, kas arī biedē mani, teiksim, no ekonomikas ministrijas kurpēm. Un tā ir demogrāfija, un tā ir vispār mūsu tās sabiedrības novecošanās.
2:04:102 hours, 4 minutes, 10 sec      Un šī arī ir lieta, kas mums ir, tai skaitā ar veselības aprūpes sistēmu kopā
2:04:172 hours, 4 minutes, 17 sec      jārisina ilgtermiņā, jo viens ir tas, ka mēs varam risināt darbaspēka kaut kādu nepietiekamību ar digitālajiem instrumentiem, ka mēs varam kaut kādos
2:04:272 hours, 4 minutes, 27 sec      gadījumos arī risināt ar migrāciju, kas ir īstermiņa risinājums. Būsim godīgi, viņš būs vienmēr īstermiņa risinājums.
2:04:352 hours, 4 minutes, 35 sec      Un ilgtermiņā mums ir īpaši svarīgi arī fokusēties uz to, kad mums ir ne tikai
2:04:422 hours, 4 minutes, 42 sec      garākas dzīvildes cilvēkiem, bet arī cilvēki, tā teikt, rūpējas par nākamo paaudzi.
2:04:502 hours, 4 minutes, 50 sec      Un, un, un šīs ir lietas, kuras ir mums obligāti jāskatās kopā. Jo arī, jo vairāk cilvēki mēs būsim Latvijā, jo vieglāk mums arī būs, godīgi sakot,
2:04:582 hours, 4 minutes, 58 sec      veidot to izaugsmi. Un te es, te es redzu to korelāciju, ka vienmēr būs tas tāds jautājums pie sevis, vai mēs
2:05:062 hours, 5 minutes, 6 sec      vienmēr domāsim sašaurināšanās virzienā, vai mēs domāsim attīstības un izaugsmes virzienā. Un es vienmēr mēģinu teikt,
2:05:142 hours, 5 minutes, 14 sec      kad mums ir jāskatās, kā ar esošajiem resursiem mēs skatāmies uz izaugsmi.
2:05:182 hours, 5 minutes, 18 sec      Mums jāskatās, kā mēs varam efektīvi, jo arī, piemēram, veselības aprūpes sistēmā jau, kā minēju, ir iespēja, kā saka, arī tur sapurināt un izspiest ārā milzīgus,
2:05:272 hours, 5 minutes, 27 sec      manuprāt, ietaupījumus, bet ietaupījumus nedrīkst veidot arī uz, piemēram, mūsu reģiona iedzīvotāju rēķina, jo mums arī
2:05:352 hours, 5 minutes, 35 sec      tur ir vajadzīgi šie veselības aprūpes pakalpojumi, jo arī tur ir šis dzīvildes jautājums. Tā kā laikam universālākā
2:05:452 hours, 5 minutes, 45 sec      lieta, mēģinām domāt, kā mēs varam veicināt izaugsmi un, un, un arī ar visām paralēlajām politikām tādā
2:05:532 hours, 5 minutes, 53 sec      virzienā arī strādājam. Nu, tas tas ir, teiksim, tas, kur varbūt tas veiksmes stāsts ekonomikas ministrijai ir bijis
2:05:592 hours, 5 minutes, 59 sec      ar dažādām, teiksim, atļauju paātrināšanām un visām citām lietām, jo katrā no mūsu soļiem, ko mēs gājām uz
2:06:092 hours, 6 minutes, 9 sec      priekšu, mēs skatāmies, kā tas ietekmēs izaugsmi, vai tas būs pozitīvi.
2:06:142 hours, 6 minutes, 14 sec      Varbūt pat mēs esam bijuši un esam brīžiem ļoti nepopulāri sabiedrībā, bet mēs ejam ar jautājumu,
2:06:222 hours, 6 minutes, 22 sec      ko mēs domājam par uzņēmējdarbības vidi, vai tiešām mums vajag kaut ko mērīt vēl tur, vai tiešām mums vajag kādu ierobežojumu tur. Mēs visus jautājumus
2:06:312 hours, 6 minutes, 31 sec      laižam cauri šim filtram. Un tad ir, godīgi sakot, mūsu darba rezultāts. Tagad mēs redzam, tā teikt, pirmos asliņus, bet īstie
2:06:392 hours, 6 minutes, 39 sec      ziedi, tas no tā, kas ir izdarīts, nu, parādīsies tajā 28, 29. 30. Kur, iespējams, Saksa kungs teiks, klau, mēs
2:06:492 hours, 6 minutes, 49 sec      kā valsts esam tā pieaudzējuši sežiskooproduktu, ka mums nav vairāk tik bēdīgs skats uz mūsu finanšu rādītājiem ilgtermiņā.
2:06:592 hours, 6 minutes, 59 sec      Iespēj reflektēt, protams, arī pašlaik. Vai tie ziedi būs tikai krāšti?
2:07:032 hours, 7 minutes, 3 sec      Nu, es gribētu mazliet reflektēt par veselības finansējuma apjomu. Un tad jautājums, nu, ko darīt? Visi jau piekrīt, vajag vairāk, ja.
2:07:142 hours, 7 minutes, 14 sec      Viena no atbildēm ir izaugsme. Labi, un tur ir taisnība, es piekrītu, bet
2:07:192 hours, 7 minutes, 19 sec      izaugsme mums nepalielinās aiz veselības izdevumus proporcionāli pret IKP. Un tas
2:07:282 hours, 7 minutes, 28 sec      bija viens arī no ziņojumā. Jā, viņš palielinās naudiskā izteiksmē, ja tā ir reāla izaugsme, tā ir reāla naudas vērtība, daudz ko var atrisināt.
2:07:372 hours, 7 minutes, 37 sec      Bet, ja prasība ir proporcionāla, un arvien vairāk vien vairāk š Latvijā ir vēlme iezīmēt savai nozarei kaut kādu
2:07:472 hours, 7 minutes, 47 sec      fiksētu procentu no IKP. Un es gribētu mazliet izteikt savu viedokli par to, vai to
2:07:552 hours, 7 minutes, 55 sec      vajag darīt, vai tas ir labi, vai slikti. Es domāju, tā atbilde slēpjas pilnīgi un vienīgi politikā un, un
2:08:032 hours, 8 minutes, 3 sec      sabiedrības, nu, teiksim, kaut kādā konsensusā, kādu budžetu mēs vēlamies, jo, protams, mēs
2:08:102 hours, 8 minutes, 10 sec      varam skriet ātrāk, efektīvāk un atrast nelietderīgos tēriņus, bet es, nu, varbūt es kļūdos, nu, kaut nu es
2:08:182 hours, 8 minutes, 18 sec      kļūdītos, neatradīs 800 miljonus šādā veidā. Nu, neatradīs. Mēs varam samazināt valsts publiskā pārvaldē
2:08:262 hours, 8 minutes, 26 sec      strādājošos, bet atcerēsimies, tie nav ierēdņi, tie ir arī ārsti, skolotāji, policisti un tālāk. Mēs nesamazināsim
2:08:332 hours, 8 minutes, 33 sec      tādā veidā, lai dabūtu šādu summu. Un šeit nevajadzētu sevi mānīt ar to, ka ar kaut kādiem kosmētiskiem paņēmieniem mēs
2:08:422 hours, 8 minutes, 42 sec      varēsim aizbērt šo te. Es nemaz nerunāju par papildus prioritātēm, kas vēl kādi 300, 400 miljoni. Mēs pāri miljardam mēs
2:08:502 hours, 8 minutes, 50 sec      aizejam 30. gadā. Mums ir reāla problēma budžetā 30. gadā, un ar kosmētiskiem
2:08:562 hours, 8 minutes, 56 sec      pasākumiem to atrisināt nevar. Un te ir jautājums, tad ko darīt? Un divi varianti, nu, abi ir iespējami.
2:09:052 hours, 9 minutes, 5 sec      Tātad viens variants, samazināt tos izdevumus, kas skar publiskos pakalpojumus. vienkārši atteikties no daļa no publiskajiem pakalpojumiem, lai
2:09:132 hours, 9 minutes, 13 sec      cik tas nebūtu politiski sarežģīti, bet tas ir, tas ir viens ceļš, jo mēs pasakām, kad nosacījums ir, ka mūsu
2:09:232 hours, 9 minutes, 23 sec      nodokļu ieņēmumi pret IKP, nu, kas tagad ir 24. gads, 35,4%
2:09:312 hours, 9 minutes, 31 sec      no IKP, nedrīkst palielināties, jo pretējā gadījumā tur, nu, vai nu cilvēkam slogs, vai uzņēmējam slogs, vai
2:09:382 hours, 9 minutes, 38 sec      tālāk. Nu, tad, tad mums ir jāsabalansē tādā veidā. Otrs variants, zinot šo un vēloties būt Eiropas
2:09:472 hours, 9 minutes, 47 sec      Savienības, nu, tā labklājīgo valstu vidū, kur ir noteikti standarti, tad mums ir jāpalielina ieņēmumi pret IKP.
2:09:592 hours, 9 minutes, 59 sec      Un, ja mēs sakām 35,4 vai tas ir, nu, tas jau tāpat ir daudz, varētu teikt, un es dzirdu, uzņēmēji to, to to varētu
2:10:072 hours, 10 minutes, 7 sec      teikt. Ā, Igaunijai ir nedaudz vairāk, Lietuvai ir zemāk. Labi, paskatāmies
2:10:132 hours, 10 minutes, 13 sec      Poliju. Polijai ir par 2% punktiem augstāk. Ja mēs aizietu kaut vai uz Polijas nodokļiem pret IKP, mēs
2:10:232 hours, 10 minutes, 23 sec      atrisinātu aizsardzības 5%, neko nemazinot citur. Un viss, ko mēs ietaupām, mēs varētu politiskām prioritātēm.
2:10:312 hours, 10 minutes, 31 sec      Mēs varam paņemt Slovēniju un Horvātiju, kas ar apmēram ir līdzīgi. Tur vēl par 1% punkti ir
2:10:392 hours, 10 minutes, 39 sec      vairāk. Bet tā vienošanās sabiedrībā ir, vai mēs gribam vairāk no savas labklājības ielikt kopējā makā, lai mums
2:10:482 hours, 10 minutes, 48 sec      būtu šīs lietas, vai negribam? Un es neesmu pārliecināts, ka atbilde ir jā, gribam. Un šeit ir uzticība arī par
2:10:562 hours, 10 minutes, 56 sec      valdību. Saka, ā, iedos kopējā makā, nu, tur viss nelietderīgi aizies. Es labāk pats. Bet, ja es labāk pats, tad arī ir
2:11:042 hours, 11 minutes, 4 sec      tas, ko es pats maksāju par veselību. Es pats rūpējos par to, lai man vecumdienās
2:11:112 hours, 11 minutes, 11 sec      būs pensija, ja es esmu apzinīgs liekot trešajā pensiju pīlārā. Ja ne, tad vienkārši pārsteigts nonākt pie tā, ka
2:11:182 hours, 11 minutes, 18 sec      tie iztikas līdzekļi maz. Šeit ir vajadzīgs konsensuss, bet man liekas, ka mēs bieži domājam tā, mēs visi vienojamies, mums vajag zemākus nodokļus, jo tas attīsta uzņēmējdarbību.
2:11:282 hours, 11 minutes, 28 sec      Mēs, mēs nevaram to, mēs nevaram to, bet, protams, mēs gribam labāku veselību, labāku izglītību un tā tālāk.
2:11:372 hours, 11 minutes, 37 sec      Man no finanšu ministrijas skatoties, nu, neiet gali kopā šeit. Un, un, un tādā ziņā, es domāju, te būtu
2:11:442 hours, 11 minutes, 44 sec      nepieciešama diskusija, cik labklājīgu vai sociāldemokrātisku valsti mēs vēlamies, vai mēs gribam liberālu valsti, kur valsts pēc iespējas
2:11:532 hours, 11 minutes, 53 sec      mazāk iejaucā iekšā. Nu, lūk, tā kā es domāju, kad, nu, šis nevajadzētu
2:12:012 hours, 12 minutes, 1 secondnovērsties no šāda veida diskusijas, manuprāt, sabiedrībā, jo ziņojumā bija minēti konkrēti ieteikumi. Bija nekustamā īpašuma tirgus
2:12:092 hours, 12 minutes, 9 sec      minēts, bija, ja es pareizi atceros, iespējams, lielāki nodokļi vairāk pelnošajiem. Kā šie virzieni?
2:12:162 hours, 12 minutes, 16 sec      Jā. Un, un tagad, ja mēs aizietu, ja mēs pateiktu, jā, mēs gribam, tad atkal ir jautājums, kādus nodokļus mēs gribam?
2:12:252 hours, 12 minutes, 25 sec      Jo, jo jebko, ko mēs kustinātu, tas uzreiz izpelnītos sabiedrības milzīgu negāciju. Nu, kā, kāpēc mantojuma
2:12:322 hours, 12 minutes, 32 sec      nodokli pēkšņi līdz šim nebija jāmaksā tagad būtu? Es varu iedomāties, kāda vētra sāksies. Nekustamo īpašumu, ja,
2:12:402 hours, 12 minutes, 40 sec      palielināt, nu, tāpat jau daudzi maksā un tā tālāk. Tie visi ir sāpīgi jautājumi, protams, bet jautājums, un
2:12:472 hours, 12 minutes, 47 sec      man liekas, tas ir pakārtots jautājums, vai mēs tagad strīdēsim, vai to nodokli vai to nodokli, vai labāk, teiksim, PVN
2:12:552 hours, 12 minutes, 55 sec      palielināt. Igauņi palielināja PVN, piemēram, ja? Lietuvieši arī. Mēs sakām
2:13:002 hours, 13 minutesnē, labi, bet nedarīt neko tai virzienā un vienkārši domāt, ka mēs pārskatot
2:13:082 hours, 13 minutes, 8 sec      izdevumus atradīsim, nu, ievērojamas summas, nu, tādas nebūs.
2:13:142 hours, 13 minutes, 14 sec      Paldies, Robert, would you like to reflect? I hope that followed it's just sometimes breaking
2:13:232 hours, 13 minutes, 23 sec      almost the most important points. Thank you. I would also again emphasize that it's really a chicken and problem a bit.
2:13:322 hours, 13 minutes, 32 sec      So public sector efficiency, public quality of public service needs to improve to convince people to
2:13:412 hours, 13 minutes, 41 sec      participate more. So it's also about communicating about the progress and like interacting with stakeholders
2:13:502 hours, 13 minutes, 50 sec      more probably. But it's also a question of who should contribute more. So I think what we in the survey make very
2:13:582 hours, 13 minutes, 58 sec      strong is that middle lower and middle incomes have already quite high tax burden in Latvia and the tax structure
2:14:072 hours, 14 minutes, 7 sec      is cute towards that. And on the other hand if you look at corporate income taxes the revenue from corporate income taxes revenue from property taxes like
2:14:142 hours, 14 minutes, 14 sec      taxes and land and buildings are much lower than the OCD average. is really some room for certain tax spaces to
2:14:232 hours, 14 minutes, 23 sec      increase their contribution to finance the public good also inheritance tax you mentioned and yeah I mean I can see that
2:14:312 hours, 14 minutes, 31 sec      always you have some interest groups that that complain for each of those measures but probably a good way to go forward is
2:14:402 hours, 14 minutes, 40 sec      to have a comprehensive reform where everybody also those groups maybe can see some
2:14:482 hours, 14 minutes, 48 sec      benefits otherors communication
2:14:572 hours, 14 minutes, 57 sec      stakeholders for complicated agre latv
2:15:042 hours, 15 minutes, 4 sec      complicated to do structural reforms paldies varbūt tie ir kādas refleksijas
2:15:122 hours, 15 minutes, 12 sec      par kolēģi Nilu teikto divu virzienus es saprotu griezt pakalpojumus tikai griežam ko griežam vai arī palielināt ieņēmumus nodokļu rēķinu.
2:15:222 hours, 15 minutes, 22 sec      Jā, un laikam šajos jautājumos, nu, te ir tā vērtīgā lieta, ko arī OCD mums bieži vien nes. Un tie tā ir tā
2:15:302 hours, 15 minutes, 30 sec      analītika un dati. Un, piemēram, tas, kas mums ir labs bijis arī ir šie mājokļu politikas uzlabojumi,
2:15:372 hours, 15 minutes, 37 sec      kuri īstenībā es saprotu, ka tagad kopē citas valstis Latviju par zemas cenas īras namiem un un veidu, kā tādas
2:15:452 hours, 15 minutes, 45 sec      sistēmas izveidot. Ā, bet politiskas diskusijas vienmēr ir smagas. Par jebkuru nodokļu jautājumu viņas vienmēr
2:15:532 hours, 15 minutes, 53 sec      būs. Un es es arī piekritīšu, bet vēlreiz arī šeit pat datos parādās tas,
2:16:002 hours, 16 minuteskad mēs kā arī politiķi, mēs nevaram pateikt sabiedrībai, ka mēs ļoti efektīvi esam kā valsts pārvalde
2:16:082 hours, 16 minutes, 8 sec      rīkojušies ar finansēm. tajā brīdī, kad mēs varēsim šo atbildēt sabiedrībai, pateikt, ka, jā, mēs esam efektīvi, ka
2:16:152 hours, 16 minutes, 15 sec      mēs tajā tabulā pārvietosimies, ka mēs birokrātisko slogu samazināsim, un tad, ja kaut kur pietrūkst, tad mēs
2:16:232 hours, 16 minutes, 23 sec      varam, es domāju, arī sākt diskutēt un pareizi to diskusiju atvērt, jo tā tas jautājums, nu, kas būtu uz ielas šobrīd, nu, kas man no tā būs papildus?
2:16:342 hours, 16 minutes, 34 sec      Kādēļ, ja mums ir tik neefektīva pārvaldība brīžiem, un Tur es saredzu to numur viens darbu, ko mums ir jāizdara,
2:16:422 hours, 16 minutes, 42 sec      un tur tiešām paldies arī Valsts kancelei un visai birokrātijas mazināšanas grupai. Bet tas paradokss
2:16:492 hours, 16 minutes, 49 sec      bija tāds, kad rezultātos izmērāmajos ekonomikas ministrija potenciāli 130 miljoni ietaupījums. Otrā, trešā vieta
2:16:582 hours, 16 minutes, 58 sec      ir zem 100.000 tūkstošiem potenciālais ietaupījums. Līdz ar to tā vieta, kur
2:17:062 hours, 17 minutes, 6 sec      mēs vēl varam šādi pieiet, viņa ir, tas, tas lauks ir liels. Manā ieskatās, tas lauks ir liels. Attiecībā uz tādu, nu,
2:17:152 hours, 17 minutes, 15 sec      kā saka, ātrais risinājums, nu, pacelsim PVN vai pacelsim kaut ko citu. Ē, pieredze. Piemēram, ja mēs skatāmies uz
2:17:222 hours, 17 minutes, 22 sec      mūsu kaimiņ valsti, Igauniju, nu, viņi dabūja nosacīto recesiju. Nu, tā ir tik
2:17:282 hours, 17 minutes, 28 sec      šaura vieta, kurā, kā saka, tev starp konkurētspējīgu un konkurētspēju zaudējušu
2:17:372 hours, 17 minutes, 37 sec      ir ļoti tuvu. Mums tas tirgus Eiropā ir liels, un konkurence tur ir sīva, un mēs viens ar otru tur konkurējam. Tāpēc mēs
2:17:442 hours, 17 minutes, 44 sec      nedrīkstam domāt tikai par to, kā kaut kur pacelt nodokļus. Mums ir jādomā par to kopējo līdzsvaru. Un es arī piekritīšu, jā, arī
2:17:542 hours, 17 minutes, 54 sec      veselības aprūpe viņa ir solidāra. Viņa visā Eiropā ir izveidota solidāra sistēma
2:18:002 hours, 18 minutesar ar to mērķi, kad, nu, visi jau dienas beigās saprot, nu, bez solidaritātes tajā sistēmā viņi
2:18:092 hours, 18 minutes, 9 sec      vienkārši nestrādās pareizi un būs kādas grupas, kas vienkārši pilnīgi izkritīs.
2:18:142 hours, 18 minutes, 14 sec      Un mēs kā Latvija, nu, mēs to nevaram arī atļauties. Bet tas, kas mums jau ir kā politiķiem jāizdara, mums ir jāspēj vienoties par to, ka mums ir pietiekams
2:18:232 hours, 18 minutes, 23 sec      finansējums, bet arī pretī tad sagaidām to, ka tas finansējums ir ļoti efektīvi izlietots.
2:18:292 hours, 18 minutes, 29 sec      Nu, sabiedrībai jau grūti uztvert kaut kādu efektīvu izlietošanu. Piemēram, tādi jautājumi kā Real Baltic un AirBaltic la atkal un atkal parādās ziņu
2:18:372 hours, 18 minutes, 37 sec      virsrakstos. Nu, tajā brīdī, ja tev vēl saka, vēl jāliek vēl naudiņa kasē, nu, tur sabiedrības uztverē tas varbūt nelīmējā
2:18:462 hours, 18 minutes, 46 sec      kopā. Un, un, un tad, tad tas ir arī, zini, kā man laikam ir grūti runāt tā, tā visas valdības vārdā vai kā citādāk, bet es varu teikt, nu, tas bija visās
2:18:542 hours, 18 minutes, 54 sec      diskusijās, kur, piemēram, par šo pašu Real Balticu mēs esam runājuši, mēs esam uzstājuši to, ka finansēšanas proporcija
2:19:022 hours, 19 minutes, 2 sec      nedrīkst mainīties. Kāpēc? Tāpēc, ka tad tu sarēķini ar nomaksātiem nodokļiem no visas summas, kas ir apmēram 30% jeb 15%
2:19:092 hours, 19 minutes, 9 sec      līdzfinansējums, tad tu iegūsti ekonomisko ieguvumu papildus arī tajā procesa laikā tehniski pāris procentus
2:19:162 hours, 19 minutes, 16 sec      uz augšu. Otra lieta, kas mums ir arī attiecībā par šīm AirBaltic situāciju, arī es skatījos arī ziņojumā ir nedaudz
2:19:252 hours, 19 minutes, 25 sec      pieskaršanās tai tai tam jautājumam. Nu, tā arī dienas beigās ir milzīga politiska izšķiršanās, bet,
2:19:332 hours, 19 minutes, 33 sec      nu, tas svarīgais vienmēr ir aiz vārda, bet arī tur šiem esošajiem, nu, vadībai, tas
2:19:412 hours, 19 minutes, 41 sec      ir mans personisks ieskats, tai vadībai, uzņēmuma vadībai jāizdara viss iespējamais, lai viņi atbrīvotu
2:19:482 hours, 19 minutes, 48 sec      naudas plūsmu, jāpierāda sevi un jāizdara pat neiespējamais vienkārši no parastas principiālas biznesa vadības.
2:19:572 hours, 19 minutes, 57 sec      Nu, kā strādā privātais bizness? Viņiem ir jāsāk tā arī domāt un strādāt.
2:20:012 hours, 20 minutes, 1 secondRoberts, un tad došu iespēju arī skatītājiem uzdot savus jautājumus. Lūdzu.
2:20:092 hours, 20 minutes, 9 sec      Rail enterprises.
2:20:162 hours, 20 minutes, 16 sec      Minority state enterpris capital.
2:20:272 hours, 20 minutes, 27 sec      enterprises economy not companies
2:20:352 hours, 20 minutes, 35 sec      governance important private investors overseing sitting in the boards you have to have competitive neutrality so it's
2:20:432 hours, 20 minutes, 43 sec      very important that the large players in the telecommunication sector the energy sector and so on they really face a true
2:20:512 hours, 20 minutes, 51 sec      competition so competition enforcement is very very important also incumbs more innovative
2:20:582 hours, 20 minutes, 58 sec      to force them to improve their productivity. So it's good if they play large role but there needs to be competitive pressures and that's an
2:21:052 hours, 21 minutes, 5 sec      important point that we also make in all the Es nevaru noturēties pa vēl vienu lietu
2:21:142 hours, 21 minutes, 14 sec      par šo te izdevumu efektivitāti. Nav šaubu. Tātad, ja mēs uzdotu jautājumu, vai valsts budžeta līdzekļi tiek, nu,
2:21:222 hours, 21 minutes, 22 sec      iztērēti efektīvi, es gribētu teikt, daļa, jā, daļa nē. Un sabiedrība arī varētu pateikt, ka ļoti
2:21:312 hours, 21 minutes, 31 sec      neefektīvi, redzot dažus piemērus, kā, teiksim, plāno vienas summas, beigās viss paliek dārgāk un tā tālāk.
2:21:392 hours, 21 minutes, 39 sec      Bet, manuprāt, tas viens risinājums ir mainīt mazliet kultūru valsts pārvaldei
2:21:462 hours, 21 minutes, 46 sec      attiecībā uz uz publisko finansējuma administrēšanu. Tātad mums pašlaik ir balstīts uz to, ka visam jānotiek
2:21:552 hours, 21 minutes, 55 sec      saskaņā ar normatīvajiem aktiem. Un tie normatīvie akti ļoti detalizēti. Un, un galvenais tas, kurš strādā, ir, ka tik
2:22:032 hours, 22 minutes, 3 sec      Dievs nedod nepārkāpt kādu normatīvo aktu. Bet, ja normatīvie akti netiek pārkāpti, ā, iznāca dārgāk, nu, nekas,
2:22:112 hours, 22 minutes, 11 sec      bet es jau visu ievēroju. Vienkārši varbūt iepirkumā nebija pietiekami liela konkurence. Es par to atbildību nenesu.
2:22:192 hours, 22 minutes, 19 sec      Un, ja mēs salīdzinām, kā Eiropas Savienība savu budžetu administrē, tur mazliet ir cits princips. Tur nav tik detalizēti noteikumi, bet tur ir viena
2:22:282 hours, 22 minutes, 28 sec      atbildīgā persona, tā saucamais authorizing officer.
2:22:342 hours, 22 minutes, 34 sec      Un viņa uzdevums ir ievērot pareizus finanšu vadības principus. Ar to viņš atbild, ka līdzekļi tiek iztērēti
2:22:422 hours, 22 minutes, 42 sec      atbilstoši mērķim, efektīvi, un viņam ir rīcības brīvība izlemt, kā viņam rīkoties, bet viņš atbild par principu.
2:22:522 hours, 22 minutes, 52 sec      Un, ja mēs kaut kā mainītu šo kultūru un atteiktos no daudziem priekšrakstiem un sīkiem dokumentiem, kas arī ir
2:23:002 hours, 23 minutesbirokrātijas samazināšanas viens no virziena, bet tas, ja cilvēkam ir iedota iespēja rīkoties ar valsts naudu, viņam
2:23:082 hours, 23 minutes, 8 sec      ir jābūt atbildīgam, ka tas rezultāts, kuru viņš iztērē pēc labākās viņa sirdsapziņas, nevis pēc kaut kādiem
2:23:162 hours, 23 minutes, 16 sec      entajiem normatīvajiem aktiem, ir iztērēti pareizi, un viņš par to var atbildēt. Un viņu neviens nesodīs un nenāks valsts kontrole un nepateiks, ā,
2:23:242 hours, 23 minutes, 24 sec      normatīvie akti pārkāpj, noziedzniek tāds. Jo, ja tu būsi ar tādu sajūtu, ka tev, ja tu tur kaut ko nebūsi izdarījis,
